ID,Manufacturer,Model,Nickname,Year Start,Year End,Engine Size,Tyre Size ,Wheel Size ,Part code,Sell Inc Vat,Cost,Logo Image,Image 1,Image 2,Image 3
9058,Toyota,Prius,IV (XW50) Facelift,2018,2021,1.8,125/80/17,"17""",RH090,249,155,Picture,Picture,Picture,Picture
10633,Toyota,Prius,V (XW60),2022,,"1.8,2.0",145/80/18,"18""",RH091,299,182.5,Picture,Picture,Picture,Picture
9072,Toyota,Prius c,Facelift,2017,2020,1.5,125/80/15,"15""",RH008,199,125,Picture,Picture,Picture,Picture
9068,Toyota,Prius c,,2011,2014,1.5,125/80/15,"15""",RH008,199,125,Picture,Picture,Picture,Picture
9071,Toyota,Prius Plug-in,I,2012,2016,1.8,125/80/17,"17""",RH090,249,155,Picture,Picture,Picture,Picture
9069,Toyota,Prius Plug-in,II,2017,,1.8,125/80/17,"17""",RH090,249,155,Picture,Picture,Picture,Picture
9070,Toyota,Prius Prime,XW50,2017,,1.8,125/80/17,"17""",RH090,249,155,Picture,Picture,Picture,Picture
9078,Toyota,Proace,I,2013,2016,"1.6 D-4D,2.0 D-4D",135/80/17,"17""",RH160,249,155,Picture,Picture,Picture,Picture
9091,Toyota,Proace,I,2013,2016,2.0 D-4D,135/80/17,"17""",RH160,249,155,Picture,Picture,Picture,Picture
9079,Toyota,Proace,II,2016,,"1.5 D-4D,1.6 D-4D,2.0 D-4D",145/80/18,"18""",RH055,299,182.5,Picture,Picture,Picture,Picture
9095,Toyota,Proace,II,2016,,2.0 D-4D,145/80/18,"18""",RH055,299,182.5,Picture,Picture,Picture,Picture
9082,Toyota,Proace City,,2020,,"1.2 PureTech,1.5 BlueHDi",145/80/18,"18""",RH055,299,182.5,Picture,Picture,Picture,Picture
9089,Toyota,Proace City,,2020,,1.5 BlueHDi,145/80/18,"18""",RH055,299,182.5,Picture,Picture,Picture,Picture
9080,Toyota,Proace City Verso,,2020,,"1.2 PureTech,1.5 BlueHDi",145/80/18,"18""",RH055,299,182.5,Picture,Picture,Picture,Picture
9081,Toyota,Proace Verso,,2016,,"1.5 D-4D,1.6 D-4D,2.0 D-4D",145/80/18,"18""",RH055,299,182.5,Picture,Picture,Picture,Picture
9093,Toyota,Proace Verso,,2016,,2.0 D-4D,145/80/18,"18""",RH055,299,182.5,Picture,Picture,Picture,Picture
9087,Toyota,Ractis,I,2005,2010,"1.3i,1.5i",125/80/15,"15""",RH008,199,125,Picture,Picture,Picture,Picture
9104,Toyota,RAV4,I (XA10),1994,2000,2.0i,155/85/18,"18""",RH093,299,182.5,Picture,Picture,Picture,Picture
9110,Toyota,RAV4,I (XA10),1994,2000,2.0i,155/85/18,"18""",RH093,299,182.5,Picture,Picture,Picture,Picture
9101,Toyota,RAV4,II (XA20),2000,2005,"1.8 VVT-i,2.0 D-4,2.0 D-4D,2.0 VVT-i",155/85/18,"18""",RH093,299,182.5,Picture,Picture,Picture,Picture
9100,Toyota,RAV4,III (XA30),2005,2009,"2.0 VVT-i,2.2 D-4D,2.2 D-CAT,2.4 VVT-i,2.4i",155/85/18,"18""",RH093,299,182.5,Picture,Picture,Picture,Picture
9102,Toyota,RAV4,III (XA30) Facelift,2008,2016,"2.0,2.2 D-4D,2.2 D-CAT,2.4 VVT-i,2.4i",155/85/18,"18""",RH093,299,182.5,Picture,Picture,Picture,Picture
9098,Toyota,RAV4,IV (XA40),2012,2016,"2.0,2.2 D,2.2 D-4D",155/85/18,"18""",RH093,299,182.5,Picture,Picture,Picture,Picture
9107,Toyota,RAV4,IV (XA40),2012,2016,2.5,155/85/18,"18""",RH093,299,182.5,Picture,Picture,Picture,Picture
9097,Toyota,RAV4,IV (XA40) Facelift,2015,2019,"2.0 D-4D,2.0 VVT-i,2.2 D-4D,2.5 VVT-i",155/85/18,"18""",RH093,299,182.5,Picture,Picture,Picture,Picture
9109,Toyota,RAV4,IV (XA40) Facelift,2015,2019,2.5,155/85/18,"18""",RH093,299,182.5,Picture,Picture,Picture,Picture
9099,Toyota,RAV4,V (XA50),2019,,"2.0 VVT-i,2.0 VVT-iE,2.5",155/85/18,"18""",RH093,299,182.5,Picture,Picture,Picture,Picture
9116,Toyota,RAV4,V (XA50),2019,,"2.5 2WD,2.5 4WD,2.5 VVT-i",155/85/18,"18""",RH093,299,182.5,Picture,Picture,Picture,Picture
