ID,Manufacturer,Model,Nickname,Year Start,Year End,Engine Size,Tyre Size ,Wheel Size ,ROAD HERO SKU,SRP INC VAT,Trade Price
107,Alfa Romeo,GT,937,2003,2010,3.2,125/80/17,"17""",RH025,249,155
108,Alfa Romeo,GTV,916,1995,2005,"1.8TS,2.0JTS,2.0TS",125/80/17,"17""",RH025,249,155
110,Alfa Romeo,GTV,916,1995,2005,"2.0TB,3.0i 24V,3.2i",125/80/17,"17""",RH025,249,155
112,Alfa Romeo,MiTo,955,2008,2016,"0.9 Turbo TwinAir,0.9i TwinAir,1.3 JTDM,1.4 MultiAir,1.4i",125/80/15,"15""",RH001,199,125
116,Alfa Romeo,MiTo,955,2008,2016,"1.4 MultiAir,1.4 TB,1.6 JTDM",125/80/15,"15""",RH001,199,125
119,Alfa Romeo,MiTo,955,2008,2016,1.4 TB,125/80/15,"15""",RH001,199,125
113,Alfa Romeo,MiTo,955 Facelift,2016,2018,"0.9 Turbo TwinAir,1.3 JTDm,1.4i",125/80/15,"15""",RH001,199,125
114,Alfa Romeo,MiTo,955 Facelift,2016,2018,"1.4 GPL,1.4 TB",125/80/15,"15""",RH001,199,125
115,Alfa Romeo,MiTo,955 Facelift,2016,2018,1.4 TB,125/80/15,"15""",RH001,199,125
120,Alfa Romeo,Spider,916,1995,2005,"1.8TS,2.0JTS,2.0TS",125/80/17,"17""",RH025,249,155
122,Alfa Romeo,Spider,916,1995,2005,3.0i,125/80/17,"17""",RH025,249,155
123,Alfa Romeo,Spider,916,1995,2005,3.2i,125/80/17,"17""",RH025,249,155
129,Alfa Romeo,Stelvio,949,2017,1900,2.2 TD,155/85/18,"18""",RH226,299,182.5
131,Alfa Romeo,Stelvio,949,2017,1900,"2.0 Turbo,2.2 TD",155/85/18,"18""",RH226,299,182.5
134,Alfa Romeo,Stelvio,949,2017,1900,2.0 Turbo,155/85/18,"18""",RH226,299,182.5
136,Alfa Romeo,Stelvio,949,2017,1900,2.9 Bi-Turbo,175/70/20,"20""",RH289,499,299
10476,Alfa Romeo,Stelvio,949,2017,1900,"2.0 Turbo,2.2 TD,2.9 Bi-Turbo",175/70/20,"20""",RH289,499,299
10602,Alfa Romeo,Tonale,,2022,1900,"1.3T PHEV,1.5,1.6D",145/80/18,"18""",RH141,299,182.5
223,Audi,A1,8X,2010,2015,"1.2 TFSi,1.4 TFSi,1.6 TDi",125/80/17,"17""",RH032,249,155
228,Audi,A1,8X,2010,2015,"1.4 TFSi,2.0 TDi",125/80/17,"17""",RH032,249,155
230,Audi,A1,8X,2010,2015,1.4 TFSi,125/80/17,"17""",RH032,249,155
220,Audi,A1,8X Facelift,2014,2018,"1.0 TFSi,1.4 TDi,1.6 TDi",125/80/17,"17""",RH032,249,155
222,Audi,A1,8X Facelift,2014,2018,1.4 TFSi,125/80/17,"17""",RH032,249,155
225,Audi,A1,8X Facelift,2014,2018,1.8 TFSi,125/80/17,"17""",RH032,249,155
221,Audi,A1,GB,2018,1900,"25 TFSi,30 TFSi",125/80/17,"17""",RH032,249,155
224,Audi,A1,GB,2018,1900,35 TFSi,125/80/17,"17""",RH032,249,155
226,Audi,A1,GB,2018,1900,40 TFSi,125/80/17,"17""",RH032,249,155
10604,Audi,A1 allstreet,GB,2022,1900,"25 TFSi,30 TFSi,35 TFSi",135/80/17,"17""",RH150,249,155
227,Audi,A1 citycarver,GB,2019,1900,"25 TFSi,30 TFSi",125/80/17,"17""",RH032,249,155
231,Audi,A1 citycarver,GB,2019,1900,35 TFSi,125/80/17,"17""",RH032,249,155
229,Audi,A2,8Z,1999,2005,"1.2 TDi,1.4 MPi,1.4 TDi",125/80/15,"15""",RH019,199,125
232,Audi,A2,8Z,1999,2005,1.6 FSi,125/80/15,"15""",RH019,199,125
253,Audi,A3,8L,1996,2003,"1.6i,1.8i,1.9 TDi,1.9 TDi Quattro",125/80/17,"17""",RH032,249,155
256,Audi,A3,8L,1996,2003,1.8T,125/80/17,"17""",RH032,249,155
246,Audi,A3,8P,2003,2005,"1.6 FSi,1.6i,1.9 TDi,2.0 TDi,2.0 TDi Quattro",125/80/17,"17""",RH033,249,155
247,Audi,A3,8P,2003,2005,2.0 FSi,125/80/17,"17""",RH033,249,155
250,Audi,A3,8P,2003,2005,"2.0 TFSi,2.0 TFSi Quattro",125/80/17,"17""",RH033,249,155
251,Audi,A3,8P,2003,2005,3.2 Quattro,125/80/17,"17""",RH033,249,155
244,Audi,A3,8P Facelift,2004,2008,"1.4 TFSi,1.6 FSi,1.6i,1.9 TDi,1.9 TDi e,2.0 TDi,2.0 TDi Quattro",125/80/17,"17""",RH033,249,155
249,Audi,A3,8P Facelift,2004,2008,"1.8 TFSi,2.0 FSi,2.0 TDi,2.0 TDi Quattro",125/80/17,"17""",RH033,249,155
255,Audi,A3,8P Facelift,2004,2008,"2.0 TFSi,2.0 TFSi Quattro",125/80/17,"17""",RH033,249,155
257,Audi,A3,8P Facelift,2004,2008,3.2 Quattro,125/80/17,"17""",RH033,249,155
242,Audi,A3,8P Facelift,2008,2010,"1.4 TFSi,1.6 TDi,1.6i,1.9 TDi,1.9 TDi e",125/80/17,"17""",RH033,249,155
245,Audi,A3,8P Facelift,2008,2010,"1.8 TFSi,1.8 TFSi Quattro,2.0 TDi,2.0 TDi Quattro",125/80/17,"17""",RH033,249,155
248,Audi,A3,8P Facelift,2008,2010,"2.0 TFSi,2.0 TFSi Quattro",125/80/17,"17""",RH033,249,155
252,Audi,A3,8P Facelift,2008,2010,3.2 Quattro,125/80/17,"17""",RH033,249,155
237,Audi,A3,8P Facelift,2010,2013,"1.2 TFSi,1.4 TFSi,1.6 TDi,1.6i",125/80/17,"17""",RH033,249,155
238,Audi,A3,8P Facelift,2010,2013,"1.8 TFSi,1.8 TFSi Quattro,2.0 TDi,2.0 TDi Quattro",125/80/17,"17""",RH033,249,155
241,Audi,A3,8P Facelift,2010,2013,"2.0 TFSi,2.0 TFSi Quattro",125/80/17,"17""",RH033,249,155
235,Audi,A3,8V,2012,2016,"1.2 TFSi,1.4 TFSi,1.4 TFSi g-tron,1.6 TDi,1.6 TDi ultra,2.0 TDi",125/80/17,"17""",RH033,249,155
239,Audi,A3,8V,2012,2016,"1.4 TFSi CoD ultra,1.8 TFSi,1.8 TFSi Quattro,2.0 TDi,2.0 TDi Quattro",125/80/17,"17""",RH033,249,155
243,Audi,A3,8V,2012,2016,1.4 TFSi e-tron,125/80/17,"17""",RH033,249,155
234,Audi,A3,8V Facelift,2016,2020,"1.0 TFSi,1.4 TFSi,1.4 TFSi CoD ultra,1.4 TFSi g-tron,1.5 TFSi CoD,1.6 TDi,2.0 TDi,2.0 TDi Quattro,30 g-tron,30 TDi,30 TFSi,35 TDi,35 TFSi",125/80/17,"17""",RH033,249,155
240,Audi,A3,8V Facelift,2016,2020,"1.4 TFSi e-tron,2.0 TDi Quattro,2.0 TFSi,2.0 TFSi Quattro,40 e-tron,40 TDi Quattro,40 TFSi,40 TFSi Quattro",125/80/17,"17""",RH033,249,155
233,Audi,A3,8Y,2020,1900,"30 g-tron,30 TDi,30 TFSi,35 TDi,35 TFSi",125/80/17,"17""",RH033,249,155
236,Audi,A3,8Y,2020,1900,"40 TDi Quattro,40 TFSi e",125/80/17,"17""",RH033,249,155
278,Audi,A4,B5,1994,1999,"1.6i,1.8i,1.9 TDi,1.9 TDi PHEV,1.9 TDi Quattro",125/80/17,"17""",RH033,249,155
281,Audi,A4,B5,1994,1999,"1.8i,1.8T,2.4i,2.5 TDi,2.5 TDi Quattro,2.6i",125/80/17,"17""",RH033,249,155
286,Audi,A4,B5,1994,1999,"1.8T,2.8i",125/80/17,"17""",RH033,249,155
276,Audi,A4,B5 Facelift,1999,2001,"1.6i,1.8i,1.9 TDi,1.9 TDi PHEV,1.9 TDi Quattro",125/80/17,"17""",RH033,249,155
279,Audi,A4,B5 Facelift,1999,2001,"1.8T,2.4i,2.5 TDi,2.5 TDi Quattro",125/80/17,"17""",RH033,249,155
282,Audi,A4,B5 Facelift,1999,2001,2.8i,125/80/17,"17""",RH033,249,155
271,Audi,A4,B6,2000,2006,"1.6i,1.9 TDi,1.9 TDi Quattro,2.0i",125/80/17,"17""",RH033,249,155
274,Audi,A4,B6,2000,2006,"1.8T,2.0 FSi,2.4i,2.5 TDi,2.5 TDi Quattro",125/80/17,"17""",RH033,249,155
277,Audi,A4,B6,2000,2006,3.0i,125/80/17,"17""",RH033,249,155
272,Audi,A4,B7,2004,2009,"1.6i,1.9 TDi,2.0 TDi,2.0 TDi 16V,2.0 TDi Quattro,2.0i",125/80/17,"17""",RH033,249,155
275,Audi,A4,B7,2004,2009,"1.8T,2.0 TDi,2.0 TDi Quattro,2.0 TFSi,2.0 TFSi e,2.0 TFSi Quattro,2.5 TDi,2.7 TDi,3.0 TDi Quattro",135/80/17,"17""",RH149,249,155
280,Audi,A4,B7,2004,2009,"2.0 TFSi,2.0 TFSi Quattro,3.0 TDi Quattro,3.0i,3.2 FSi,3.2 FSi Quattro",135/80/17,"17""",RH149,249,155
266,Audi,A4,B8,2007,2012,"1.8 TFSi,1.8 TFSi Quattro,2.0 TDi,2.0 TDi Quattro",135/80/17,"17""",RH175,249,155
269,Audi,A4,B8,2007,2012,"2.0 TDi,2.0 TDi Quattro,2.0 TFSi,2.0 TFSi flexible,2.0 TFSi flexible Quattro,2.0 TFSi Quattro,2.7 TDi",135/80/17,"17""",RH175,249,155
273,Audi,A4,B8,2007,2012,"3.0 TDi,3.0 TDi Quattro,3.2 FSi,3.2 FSi Quattro",135/80/17,"17""",RH175,249,155
260,Audi,A4,B8 Facelift,2011,2016,"1.8 TFSi,2.0 TDi,2.0 TDi Quattro",135/80/17,"17""",RH175,249,155
262,Audi,A4,B8 Facelift,2011,2016,"1.8 TFSi,1.8 TFSi Quattro,2.0 TDi,2.0 TDi Quattro,2.0 TFSi,2.0 TFSi flexible,2.0 TFSi flexible Quattro,3.0 TDi",135/80/17,"17""",RH175,249,155
267,Audi,A4,B8 Facelift,2011,2016,"2.0 TFSi,2.0 TFSi Quattro,3.0 TDi,3.0 TDi Quattro",135/80/17,"17""",RH175,249,155
270,Audi,A4,B8 Facelift,2011,2016,"3.0 TFSi,3.0 TFSi Quattro",135/80/17,"17""",RH175,249,155
254,Audi,A4,B9,2015,2020,"1.4 TFSi,2.0 TDi,2.0 TDi ultra,30 TDi,35 TDi,35 TFSi",135/80/17,"17""",RH175,249,155
259,Audi,A4,B9,2015,2020,"2.0 TDi,2.0 TDi Quattro,2.0 TDi ultra,2.0 TFSi,2.0 TFSi g-tron,2.0 TFSi ultra,40 g-tron,40 TDi,40 TDi Quattro,40 TFSi",135/80/17,"17""",RH175,249,155
264,Audi,A4,B9,2015,2020,"2.0 TFSi,2.0 TFSi mHEV,2.0 TFSi Quattro,3.0 TDi,3.0 TDi Quattro,45 TDi Quattro,45 TFSi,45 TFSi Quattro",135/80/17,"17""",RH175,249,155
268,Audi,A4,B9,2015,2020,"3.0 TDi Quattro,50 TDi Quattro",135/80/17,"17""",RH175,249,155
258,Audi,A4,B9 Facelift,2019,1900,"30 TDi,35 TDi,35 TFSi",135/80/17,"17""",RH175,249,155
261,Audi,A4,B9 Facelift,2019,1900,"40 g-tron,40 TDi,40 TDi Quattro,40 TFSi",135/80/17,"17""",RH175,249,155
263,Audi,A4,B9 Facelift,2019,1900,"45 TDi Quattro,45 TFSi,45 TFSi Quattro",135/80/17,"17""",RH175,249,155
265,Audi,A4,B9 Facelift,2019,1900,50 TDi Quattro,135/80/17,"17""",RH175,249,155
10481,Audi,A4,B9 Facelift,2019,1900,"30 TDi,35 TDi,35 TFSi,40 g-tron,40 TFSi,45 TFSi Quattro,50 TDi Quattro",135/80/17,"17""",RH175,249,155
291,Audi,A4 Allroad,B8,2009,2011,2.0 TDi Quattro,145/80/18,"18""",RH085,299,182.5
294,Audi,A4 Allroad,B8,2009,2011,"2.0 TFSi Quattro,3.0 TDi Quattro",145/80/18,"18""",RH085,299,182.5
290,Audi,A4 Allroad,B8 Facelift,2011,2016,2.0 TDi Quattro,145/80/18,"18""",RH085,299,182.5
292,Audi,A4 Allroad,B8 Facelift,2011,2016,"2.0 TDi Quattro,2.0 TFSi Quattro",145/80/18,"18""",RH085,299,182.5
295,Audi,A4 Allroad,B8 Facelift,2011,2016,3.0 TDi Quattro,145/80/18,"18""",RH085,299,182.5
